, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
с,0.0031196050519429384,0.0015143713844383198,3.0287427688766394e-05,0.0011206348244843566,3.0287427688766394e-05,0.00021201199382136476,0.0036647787503407336,0.0,0.00018172456613259837,0.0,0.0012720719629281884,0.0,0.0038767907441620984,0.0027258684919889754,0.000848047975285459,0.0011509222521731228,0.002544143925856377,0.002635006208922676,0.00024229942151013115,0.00039373655995396313,0.010600599691068238,0.000545173698397795,0.0,0.00024229942151013115,3.0287427688766394e-05,9.086228306629919e-05,6.057485537753279e-05,0.0,0.0,0.0002725868491988975,0.0029681679134991065,0.0,0.00018172456613259837,0.005845473543931914
т,0.004119090165672229,0.0054820244116667175,9.086228306629919e-05,0.0018172456613259837,0.0,9.086228306629919e-05,0.004664263864070025,0.0,0.0,0.0,0.004179665021049763,0.0,0.000545173698397795,0.00015143713844383195,6.057485537753279e-05,0.0009691976860405246,0.011751521943241361,0.00018172456613259837,0.002210982221279947,0.0009086228306629918,3.0287427688766394e-05,0.0017566708059484509,0.0,0.0,6.057485537753279e-05,6.057485537753279e-05,0.0,0.0,0.0,0.0023321319320350124,0.006178635248508344,0.0,6.057485537753279e-05,0.0013629342459944877
у,0.006875246085349971,6.057485537753279e-05,0.0006057485537753278,0.0011206348244843566,0.0009389102583517582,0.0019081079443922827,0.00012114971075506558,0.0,0.001544658812127086,0.00018172456613259837,0.0,3.0287427688766394e-05,0.0014235091013720205,0.002544143925856377,0.000848047975285459,0.0003331617045764303,0.0,0.0006663234091528606,0.00039373655995396313,0.0017869582336372172,0.0019686827997698157,0.0,0.0,0.0004845988430202623,0.0,0.0010600599691068238,0.0005754611260865614,0.00039373655995396313,0.0,0.0,0.0,0.0,0.0011812096798618893,0.00012114971075506558
ф,0.0,0.00024229942151013115,0.0,0.0,0.0,0.0,0.00024229942151013115,0.0,0.0,0.0,0.00015143713844383195,0.0,0.0,0.0,0.0,0.0,6.057485537753279e-05,0.0,3.0287427688766394e-05,0.0,3.0287427688766394e-05,6.057485537753279e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.057485537753279e-05,0.0,3.0287427688766394e-05,0.0,0.0
х,0.002847018202744041,0.00039373655995396313,0.0,0.000545173698397795,0.0,0.0,6.057485537753279e-05,0.0,0.0,0.0,0.00018172456613259837,0.0,0.0,0.00015143713844383195,9.086228306629919e-05,0.0005148862707090286,0.0023321319320350124,0.0,6.057485537753279e-05,6.057485537753279e-05,0.0,0.00012114971075506558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.0004240239876427295,0.0003028742768876639,0.0,0.00012114971075506558,0.0,0.0,0.0005754611260865614,0.0,0.0,0.0,0.0003331617045764303,0.0,3.0287427688766394e-05,0.0,0.0,0.0,9.086228306629919e-05,0.0,0.0,0.0,3.0287427688766394e-05,3.0287427688766394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003331617045764303,0.0,0.0,0.0,0.0
ч,6.057485537753279e-05,0.0023624193597237787,0.0,0.0,0.0,0.0,0.002907593058121574,0.0,0.0,0.0,0.0015749462398158525,0.0,0.00039373655995396313,0.00012114971075506558,0.0,0.0007571856922191599,9.086228306629919e-05,0.0,3.0287427688766394e-05,0.0,0.002847018202744041,0.000848047975285459,0.0,0.0,0.0,0.0,0.00015143713844383195,0.0,0.0,0.0,0.00021201199382136476,0.0,0.0,0.0
ш,0.00018172456613259837,0.0006360359814640942,0.0,3.0287427688766394e-05,0.0,0.0,0.0016355210951933853,0.0,0.0,0.0,0.001453796529060787,0.0,0.0012114971075506556,0.0004845988430202623,0.0,0.00015143713844383195,0.0003331617045764303,0.0,0.0,0.0,9.086228306629919e-05,0.0002725868491988975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007874731199079263,0.0,0.0,0.0
щ,0.0,0.0003331617045764303,0.0,0.0,0.0,0.0,0.0019686827997698157,0.0,0.0,0.0,0.0007874731199079263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003028742768876639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,3.0287427688766394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.086228306629919e-05
ы,0.00402822788260593,0.0,0.0004543114153314959,0.0011509222521731228,0.00012114971075506558,0.00012114971075506558,0.0012417845352394221,0.0,3.0287427688766394e-05,0.00018172456613259837,6.057485537753279e-05,0.0011509222521731228,0.00018172456613259837,0.0023624193597237787,0.0013326468183057212,6.057485537753279e-05,0.0,0.0002725868491988975,0.0003331617045764303,0.0006057485537753278,0.0006057485537753278,0.0,0.0,0.0009086228306629918,0.0,0.00015143713844383195,0.0003331617045764303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ь,0.009691976860405245,0.0,3.0287427688766394e-05,0.0,0.0,0.0,0.00021201199382136476,0.0,3.0287427688766394e-05,0.00024229942151013115,3.0287427688766394e-05,0.0,0.0014840839567495533,0.0,0.0,0.001998970227458582,0.0,0.0,0.0,0.0016052336675046188,6.057485537753279e-05,0.0,0.0,0.0,0.0002725868491988975,0.0,0.0004543114153314959,0.0,0.0,0.0,0.0,0.0,0.0007571856922191599,0.00012114971075506558
э,3.0287427688766394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0287427688766394e-05,3.0287427688766394e-05,3.0287427688766394e-05,6.057485537753279e-05,0.0,0.0,0.00012114971075506558,6.057485537753279e-05,0.0018778205167035164,0.0,0.0,0.0,0.0,0.0,3.0287427688766394e-05,0.0,0.0,0.0,0.0,3.0287427688766394e-05,0.0,0.0
ю,0.002998455341187873,0.0,0.00015143713844383195,0.0,0.0,0.00012114971075506558,0.0,0.0,0.0,0.0,0.0,0.0,3.0287427688766394e-05,6.057485537753279e-05,6.057485537753279e-05,6.057485537753279e-05,0.0,0.0,6.057485537753279e-05,0.00021201199382136476,0.00015143713844383195,0.0,0.0,0.0,0.0,6.057485537753279e-05,0.0,0.0009691976860405246,0.0,0.0,0.0,0.0,0.0,0.0
я,0.018202744040948602,0.0,0.0,0.0004240239876427295,0.0003331617045764303,0.0007268982645303935,9.086228306629919e-05,0.0,6.057485537753279e-05,0.0003331617045764303,0.00018172456613259837,3.0287427688766394e-05,6.057485537753279e-05,0.0009691976860405246,0.0002725868491988975,0.0006360359814640942,3.0287427688766394e-05,3.0287427688766394e-05,0.00015143713844383195,0.0005148862707090286,0.0011206348244843566,0.0,0.0,9.086228306629919e-05,3.0287427688766394e-05,6.057485537753279e-05,6.057485537753279e-05,0.00039373655995396313,0.0,0.0,0.0,0.0,0.00015143713844383195,0.00024229942151013115
Entropy,7.950704199810447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.278114490685434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
