, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
у,0.006117875098431159,6.0573020776546124e-05,0.0007874492700950997,0.0010903143739778303,0.0007268762493185535,0.0017566176025198377,6.0573020776546124e-05,0.0,0.0015748985401901994,0.00030286510388273063,0.0,6.0573020776546124e-05,0.0013326064570840148,0.0021806287479556605,0.0007268762493185535,0.00030286510388273063,0.0,0.0007268762493185535,0.00036343812465927677,0.0018171906232963837,0.0016354715609667454,0.0,0.0,0.0007874492700950997,0.0,0.0010297413532012842,0.0004240111454358229,0.00036343812465927677,0.0,0.0,0.0,0.0,0.0012720334363074686,6.0573020776546124e-05
ф,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0,0.0002422920831061845,0.0,0.0,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0,0.0,0.00012114604155309225,0.0,6.0573020776546124e-05,0.0,6.0573020776546124e-05,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,0.0
х,0.0032709431219334908,0.0004240111454358229,0.0,0.0005451571869889151,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0002422920831061845,0.00018171906232963838,0.00018171906232963838,0.00187776364407293,0.0,6.0573020776546124e-05,6.0573020776546124e-05,0.0,0.00012114604155309225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.00036343812465927677,0.0004240111454358229,0.0,6.0573020776546124e-05,0.0,0.0,0.0006057302077654613,0.0,0.0,0.0,0.0005451571869889151,0.0,6.0573020776546124e-05,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,6.0573020776546124e-05,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012114604155309225,0.0,0.0,0.0,0.0
ч,6.0573020776546124e-05,0.00187776364407293,0.0,0.0,0.0,0.0,0.0033920891634865833,0.0,0.0,0.0,0.0012720334363074686,0.0,0.00036343812465927677,6.0573020776546124e-05,0.0,0.0007874492700950997,0.00012114604155309225,0.0,6.0573020776546124e-05,0.0,0.0026046398933914834,0.0008480222908716458,0.0,0.0,0.0,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0002422920831061845,0.0,0.0,0.0
ш,0.00018171906232963838,0.0006663032285420074,0.0,6.0573020776546124e-05,0.0,0.0,0.0020594827064025685,0.0,0.0,0.0,0.0012720334363074686,0.0,0.0013326064570840148,0.0006057302077654613,0.0,6.0573020776546124e-05,0.0002422920831061845,0.0,0.0,0.0,6.0573020776546124e-05,0.00036343812465927677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006663032285420074,0.0,0.0,0.0
щ,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0,0.001938336664849476,0.0,0.0,0.0,0.000969168332424738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002422920831061845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012114604155309225
ы,0.004361257495911321,0.0,0.00030286510388273063,0.0012114604155309225,6.0573020776546124e-05,0.0,0.0013931794778605608,0.0,6.0573020776546124e-05,0.00018171906232963838,6.0573020776546124e-05,0.0010903143739778303,0.0002422920831061845,0.0026652129141680296,0.0012720334363074686,6.0573020776546124e-05,0.0,0.00036343812465927677,0.0004240111454358229,0.0005451571869889151,0.0006057302077654613,0.0,0.0,0.0009085953116481918,0.0,0.00018171906232963838,0.000484584166212369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ь,0.00938881822036465,0.0,0.0,0.0,0.0,0.0,0.00012114604155309225,0.0,6.0573020776546124e-05,0.00030286510388273063,6.0573020776546124e-05,0.0,0.0015748985401901994,0.0,0.0,0.002362347810285299,0.0,0.0,0.0,0.0013931794778605608,6.0573020776546124e-05,0.0,0.0,0.0,0.00036343812465927677,0.0,0.0004240111454358229,0.0,0.0,0.0,0.0,0.0,0.0007268762493185535,0.00012114604155309225
э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0002422920831061845,0.0,0.0018171906232963837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0
ю,0.003028651038827306,0.0,0.00012114604155309225,0.0,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,6.0573020776546124e-05,6.0573020776546124e-05,6.0573020776546124e-05,0.0,0.0,6.0573020776546124e-05,0.0002422920831061845,0.0,0.0,0.0,0.0,0.0,0.00012114604155309225,0.0,0.0006057302077654613,0.0,0.0,0.0,0.0,0.0,0.0
я,0.018414198316070024,0.0,0.0,0.0002422920831061845,0.00036343812465927677,0.0006663032285420074,6.0573020776546124e-05,0.0,0.00012114604155309225,0.000484584166212369,0.0002422920831061845,0.0,6.0573020776546124e-05,0.0008480222908716458,0.0002422920831061845,0.0007268762493185535,6.0573020776546124e-05,6.0573020776546124e-05,6.0573020776546124e-05,0.0007268762493185535,0.0009085953116481918,0.0,0.0,6.0573020776546124e-05,6.0573020776546124e-05,0.00012114604155309225,6.0573020776546124e-05,0.000484584166212369,0.0,0.0,0.0,0.0,0.00012114604155309225,0.00030286510388273063
Entropy,7.937639654164031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.194217306444762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
