,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
й,0.0002899180981372762,0.00021743857360295715,0.0007247952453431905,0.00021743857360295715,0.0005798361962745524,0.0001449590490686381,0.0,0.0,0.0001449590490686381,0.0006523157208088715,0.0,0.0005073566717402334,0.0001449590490686381,0.00036239762267159525,0.001449590490686381,0.0004348771472059143,0.001304631441617743,0.0002899180981372762,0.0015945495397550191,0.0006523157208088715,0.00021743857360295715,0.00021743857360295715,7.247952453431905e-05,7.247952453431905e-05,0.0007247952453431905,0.00036239762267159525,0.0,0.0,0.0,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0001449590490686381
к,0.0076103500761035,0.0002899180981372762,0.0007247952453431905,0.0,0.0001449590490686381,0.0010147133434804667,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0045662100456621,0.0,0.0004348771472059143,0.0002899180981372762,0.0002899180981372762,0.0010871928680147858,0.010219612959338986,0.00036239762267159525,0.0023918243096325287,0.0007247952453431905,0.0012321519170834239,0.003116619554975719,0.0,0.0001449590490686381,0.0,0.00021743857360295715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001449590490686381
л,0.006740595781691672,0.00021743857360295715,0.0006523157208088715,0.0007247952453431905,0.0009422338189461477,0.007030513879828948,0.0,0.00021743857360295715,0.00036239762267159525,0.007102993404363267,0.0,0.0009422338189461477,0.00021743857360295715,0.0007247952453431905,0.0018119881133579763,0.005870841487279843,0.0009422338189461477,0.00036239762267159525,0.003913894324853229,0.0002899180981372762,0.001449590490686381,0.0,7.247952453431905e-05,0.0,0.00036239762267159525,0.0,0.0,0.0,0.0010871928680147858,0.005291005291005291,7.247952453431905e-05,0.0007247952453431905,0.0023918243096325287
м,0.0031890990795100382,0.0002899180981372762,0.0007247952453431905,0.00021743857360295715,0.0004348771472059143,0.006015800536348481,0.0,7.247952453431905e-05,0.00021743857360295715,0.0035514967021816335,0.0,0.0010147133434804667,0.00021743857360295715,0.0005073566717402334,0.002681742407769805,0.0064506776835543955,0.0008697542944118286,0.0001449590490686381,0.0008697542944118286,0.0004348771472059143,0.0023193447850982096,7.247952453431905e-05,7.247952453431905e-05,0.0,0.0005798361962745524,7.247952453431905e-05,0.0,0.0,0.001304631441617743,0.0,0.00036239762267159525,0.0,0.0010871928680147858
н,0.009567297238530115,7.247952453431905e-05,0.0001449590490686381,0.0,0.002971660505907081,0.010364572008407624,0.0,0.0,7.247952453431905e-05,0.008697542944118286,0.0,0.0004348771472059143,0.00021743857360295715,0.00021743857360295715,0.002609262883235486,0.011959121548162643,0.0005798361962745524,0.0001449590490686381,0.0008697542944118286,0.0010147133434804667,0.004856128143799376,0.0,0.0001449590490686381,0.00021743857360295715,0.00021743857360295715,0.0,0.0,0.0,0.0035514967021816335,0.0011596723925491048,0.0,0.00036239762267159525,0.004203812422990505
о,0.00021743857360295715,0.005146046241936653,0.009857215336667391,0.00536348481553961,0.00536348481553961,0.002899180981372762,0.0,0.0031890990795100382,0.002971660505907081,0.002754221932304124,0.0036964557512502716,0.004493730521127781,0.008552583895049648,0.007392911502500543,0.00840762484598101,0.0018844676378922953,0.004638689570196419,0.007175472928897586,0.01145176487642241,0.01072696963107922,0.001377110966152062,0.00036239762267159525,0.0007247952453431905,0.0001449590490686381,0.002971660505907081,0.0010147133434804667,0.0002899180981372762,0.0,0.0,0.0,0.00036239762267159525,0.00036239762267159525,0.0020294266869609334
п,0.003116619554975719,0.0,0.0,0.0,7.247952453431905e-05,0.001304631441617743,0.0,0.0,0.0,0.001449590490686381,0.0,0.00036239762267159525,0.0012321519170834239,0.0,0.0001449590490686381,0.012901355367108791,0.0,0.006813075306225991,0.0,7.247952453431905e-05,0.0010871928680147858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006523157208088715,0.0,0.0,0.0,0.0004348771472059143
р,0.00833514532144669,7.247952453431905e-05,0.0009422338189461477,7.247952453431905e-05,7.247952453431905e-05,0.0076103500761035,0.0,0.0004348771472059143,0.0001449590490686381,0.0049286076683336955,0.0,0.0004348771472059143,7.247952453431905e-05,0.0002899180981372762,0.0015945495397550191,0.009567297238530115,0.0001449590490686381,7.247952453431905e-05,0.00036239762267159525,0.0007972747698775096,0.0033340581285786763,0.0,0.0004348771472059143,0.0001449590490686381,0.0,0.00021743857360295715,7.247952453431905e-05,0.0,0.0023918243096325287,0.0005798361962745524,0.0,0.0001449590490686381,0.0009422338189461477
с,0.0021019062114952525,0.0002899180981372762,0.001377110966152062,0.00036239762267159525,0.0005073566717402334,0.004203812422990505,0.0,0.0004348771472059143,7.247952453431905e-05,0.0021743857360295715,0.0,0.005218525766470972,0.0035514967021816335,0.001304631441617743,0.0018844676378922953,0.0032615786040443573,0.0038414148003189097,0.0004348771472059143,0.0006523157208088715,0.013408712038849024,0.0010147133434804667,0.0,0.0002899180981372762,0.0001449590490686381,0.0,7.247952453431905e-05,0.0,0.0,0.0002899180981372762,0.0033340581285786763,7.247952453431905e-05,0.0001449590490686381,0.007900268174240777
т,0.006958034355294629,0.00021743857360295715,0.0025367833587011668,7.247952453431905e-05,0.0005073566717402334,0.005653402913676886,0.0,0.0002899180981372762,0.0004348771472059143,0.0049286076683336955,0.0,0.0009422338189461477,0.0002899180981372762,0.0005798361962745524,0.0011596723925491048,0.013118793940711748,0.0008697542944118286,0.002971660505907081,0.0012321519170834239,0.00021743857360295715,0.0016670290642893382,0.0,0.0,0.0001449590490686381,7.247952453431905e-05,0.0,0.0,0.0,0.002971660505907081,0.008190186272378053,0.0,7.247952453431905e-05,0.0016670290642893382
